Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_PRESYNAPTIC_MEMBRANE	161	A specialized area of membrane of the axon terminal that faces the plasma membrane of the neuron or muscle fiber with which the axon terminal establishes a synaptic junction; many synaptic junctions exhibit structural presynaptic characteristics, such as conical, electron-dense internal protrusions, that distinguish it from the remainder of the axon plasma membrane. [GOC:jl, ISBN:0815316194]	34	0.2112	4.05E-19	1.69E-17
GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	406	An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]	53	0.1305	6.54E-19	2.62E-17
GO_NEURON_TO_NEURON_SYNAPSE	344	A synapse in which pre and post-synaptic cells are neurons. [GOC:dos]	48	0.1395	1.93E-18	7.42E-17
GO_RECEPTOR_COMPLEX	398	Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function. [GOC:go_curators]	51	0.1281	6.7E-18	2.48E-16
GO_CELL_SURFACE	868	The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]	78	0.0899	2.72E-17	9.72E-16
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	77	The component of the postsynaptic specialization membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]	22	0.2857	7.98E-16	2.76E-14
GO_MEMBRANE_PROTEIN_COMPLEX	1171	Any protein complex that is part of a membrane. [GOC:dos]	90	0.0769	1.52E-15	5.06E-14
GO_AXON_PART	376	A part of an axon, a cell projection of a neuron. [GOC:jl]	46	0.1223	1.66E-15	5.35E-14
GO_DISTAL_AXON	280	That part of an axon close to and including the growth cone or the axon terminus. [GOC:aruk, GOC:bc, PMID:17202468]	39	0.1393	3.24E-15	1.01E-13
GO_CELL_CELL_JUNCTION	448	A cell junction that forms a connection between two or more cells in a multicellular organism; excludes direct cytoplasmic junctions such as ring canals. [GOC:dgh, GOC:hb, GOC:mah]	50	0.1116	4.05E-15	1.23E-13
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	101	The membrane component of the postsynaptic specialization. This is the region of the postsynaptic membrane in which the population of neurotransmitter receptors involved in synaptic transmission are concentrated. [GOC:dos]	22	0.2178	3.66E-13	1.08E-11
GO_GABA_ERGIC_SYNAPSE	74	A synapse that uses GABA as a neurotransmitter.  These synapses are typically inhibitory. [GOC:dos]	19	0.2568	6.24E-13	1.79E-11
GO_EXOCYTIC_VESICLE	208	A transport vesicle that mediates transport from an intracellular compartment to the plasma membrane, and fuses with the plasma membrane to release various cargo molecules, such as proteins or hormones, by exocytosis. [GOC:kad, GOC:mah]	30	0.1442	1.99E-12	5.55E-11
GO_POTASSIUM_CHANNEL_COMPLEX	99	An ion channel complex through which potassium ions pass. [GOC:mah]	21	0.2121	2.17E-12	5.87E-11
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_DENSITY_MEMBRANE	54	The component of the postsynaptic density membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]	16	0.2963	3.71E-12	9.65E-11
GO_CELL_LEADING_EDGE	397	The area of a motile cell closest to the direction of movement. [GOC:pg]	42	0.1058	3.76E-12	9.65E-11
GO_NEURON_PROJECTION_TERMINUS	137	The specialized, terminal region of a neuron projection such as an axon or a dendrite. [GOC:jl]	24	0.1752	4.71E-12	1.18E-10
GO_CYTOPLASMIC_REGION	488	Any (proper) part of the cytoplasm of a single cell of sufficient size to still be considered cytoplasm\ [GOC:dos]	47	0.0963	5.69E-12	1.39E-10
GO_TRANSCRIPTION_FACTOR_COMPLEX	358	A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription. [GOC:jl]	38	0.1061	3.6E-11	8.58E-10
GO_BASEMENT_MEMBRANE	93	A collagen-containing extracellular matrix consisting of a thin layer of dense material found in various animal tissues interposed between the cells and the adjacent connective tissue. It consists of the basal lamina plus an associated layer of reticulin fibers. [ISBN:0198547684, PMID:22505934]	19	0.2043	4.84E-11	1.13E-9
GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	85	The component of the presynaptic membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]	18	0.2118	8.29E-11	1.89E-9
GO_POSTSYNAPTIC_DENSITY_MEMBRANE	75	The membrane component of the postsynaptic density. This is the region of the postsynaptic membrane in which the population of neurotransmitter receptors involved in synaptic transmission are concentrated. [GOC:dos]	16	0.2133	8.22E-10	1.83E-8
GO_EXTRACELLULAR_MATRIX_COMPONENT	49	Any constituent part of the extracellular matrix, the structure lying external to one or more cells, which provides structural support for cells or tissues; may be completely external to the cell (as in animals) or be part of the cell (as often seen in plants). [GOC:jl]	13	0.2653	1.79E-9	3.91E-8
GO_PLASMA_MEMBRANE_RECEPTOR_COMPLEX	187	Any protein complex that is part of the plasma membrane and which functions as a receptor. [GOC:dos]	24	0.1283	3.51E-9	7.47E-8
GO_SUPRAMOLECULAR_COMPLEX	946	A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber. [GOC:dos]	64	0.0677	3.66E-9	7.63E-8
GO_PERIKARYON	127	The portion of the cell soma (neuronal cell body) that excludes the nucleus. [GOC:jl]	19	0.1496	1.18E-8	2.41E-7
GO_TRANSPORT_VESICLE	390	Any of the vesicles of the constitutive secretory pathway, which carry cargo from the endoplasmic reticulum to the Golgi, between Golgi cisternae, from the Golgi to the ER (retrograde transport) or to destinations within or outside the cell. [GOC:mah, PMID:22160157]	35	0.0897	1.75E-8	3.5E-7
GO_NEURON_PROJECTION_MEMBRANE	59	The portion of the plasma membrane surrounding a neuron projection. [GOC:mah]	13	0.2203	2.08E-8	4.09E-7
GO_DENDRITE_MEMBRANE	40	The portion of the plasma membrane surrounding a dendrite. [GOC:mah]	11	0.2750	2.12E-8	4.09E-7
GO_WHOLE_MEMBRANE	1653	Any lipid bilayer that completely encloses some structure, and all the proteins embedded in it or attached to it.  Examples include the plasma membrane and most organelle membranes. [GOC:dos]	92	0.0557	2.69E-8	5.08E-7
GO_ANCHORING_JUNCTION	552	A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]	43	0.0779	2.86E-8	5.29E-7
GO_CELL_CELL_ADHERENS_JUNCTION	110	An adherens junction which connects a cell to another cell. [GOC:hb]	17	0.1545	4.2E-8	7.64E-7
GO_COLLAGEN_TRIMER	87	A protein complex consisting of three collagen chains assembled into a left-handed triple helix. These trimers typically assemble into higher order structures. [GOC:dos, GOC:mah, ISBN:0721639976, PMID:19693541, PMID:21421911]	15	0.1724	5.83E-8	1.04E-6
GO_LEADING_EDGE_MEMBRANE	170	The portion of the plasma membrane surrounding the leading edge of a motile cell. [GOC:mah]	21	0.1235	6.43E-8	1.13E-6
GO_ENDOPLASMIC_RETICULUM	1892	The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached). [ISBN:0198506732]	100	0.0529	8.12E-8	1.4E-6
GO_VESICLE_MEMBRANE	785	The lipid bilayer surrounding any membrane-bounded vesicle in the cell. [GOC:mah, GOC:vesicle]	53	0.0675	8.64E-8	1.46E-6
GO_NEURON_SPINE	158	A small membranous protrusion, often ending in a bulbous head and attached to the neuron by a narrow stalk or neck. [ISBN:0198504888, NIF_Subcellular:sao1145756102]	20	0.1266	8.75E-8	1.46E-6
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	701	Cytoplasm situated near, or occurring around, the nucleus. [GOC:jid]	49	0.0699	9.37E-8	1.53E-6
GO_CYTOSKELETAL_PART	1650	Any constituent part of the cytoskeleton, a cellular scaffolding or skeleton that maintains cell shape, enables some cell motion (using structures such as flagella and cilia), and plays important roles in both intra-cellular transport (e.g. the movement of vesicles and organelles) and cellular division. Includes constituent parts of intermediate filaments, microfilaments, microtubules, and the microtrabecular lattice. [GOC:jl]	90	0.0545	9.48E-8	1.53E-6
GO_APICAL_PLASMA_MEMBRANE	313	The region of the plasma membrane located at the apical end of the cell. [GOC:curators]	29	0.0927	1.46E-7	2.29E-6
GO_SYNAPTIC_VESICLE_MEMBRANE	106	The lipid bilayer surrounding a synaptic vesicle. [GOC:mah]	16	0.1509	1.46E-7	2.29E-6
GO_ACTIN_CYTOSKELETON	491	The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes. [GOC:jl, ISBN:0395825172, ISBN:0815316194]	38	0.0774	2.12E-7	3.27E-6
GO_CELL_PROJECTION_MEMBRANE	341	The portion of the plasma membrane surrounding a plasma membrane bounded cell surface projection. [GOC:mah] {comment=GOC:krc}	30	0.0880	2.76E-7	4.18E-6
GO_APICAL_PART_OF_CELL	379	The region of a polarized cell that forms a tip or is distal to a base. For example, in a polarized epithelial cell, the apical region has an exposed surface and lies opposite to the basal lamina that separates the epithelium from other tissue. [GOC:mah, ISBN:0815316194]	32	0.0844	2.83E-7	4.23E-6
GO_ENDOPLASMIC_RETICULUM_LUMEN	307	The volume enclosed by the membranes of the endoplasmic reticulum. [ISBN:0198547684]	28	0.0912	3.29E-7	4.84E-6
GO_NEUROTRANSMITTER_RECEPTOR_COMPLEX	54	Any protein complex that is capable of functioning as a neurotransmitter receptor. [GOC:dos]	11	0.2037	5.95E-7	8.63E-6
GO_CELL_CORTEX	302	The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins. [GOC:mah, ISBN:0815316194]	27	0.0894	7.83E-7	1.12E-5
GO_DENSE_CORE_GRANULE	19	Electron-dense organelle with a granular internal matrix; contains proteins destined to be secreted. [NIF_Subcellular:sao772007592, PMID:14690495]	7	0.3684	8.93E-7	1.26E-5
GO_SITE_OF_POLARIZED_GROWTH	167	Any part of a cell where non-isotropic growth takes place. [GOC:mah]	19	0.1138	9.67E-7	1.34E-5
GO_MEMBRANE_REGION	326	A membrane that is a part of a larger membrane.  Examples include the apical region of the plasma membrane of an epithelial cell and the various regions of the endoplasmic reticulum membrane. [GOC:dos]	28	0.0859	1.1E-6	1.51E-5
GO_PRESYNAPTIC_ACTIVE_ZONE	70	A specialized region of the plasma membrane and cell cortex of a presynaptic neuron; encompasses a region of the plasma membrane where synaptic vesicles dock and fuse, and a specialized cortical cytoskeletal matrix. [GOC:dh, GOC:dl, GOC:ef, GOC:jid, GOC:pr, PMID:3152289]	12	0.1714	1.3E-6	1.76E-5
GO_CELL_BODY_MEMBRANE	28	The plasma membrane of a cell that bears surface projections such as axons, dendrites, cilia, or flagella, excluding the plasma membrane on cell projections. [GOC:ecd]	8	0.2857	1.34E-6	1.79E-5
GO_EXCITATORY_SYNAPSE	49	A synapse in which an action potential in the presynaptic cell increases the probability of an action potential occurring in the postsynaptic cell. [GOC:dph, GOC:ef]	10	0.2041	1.9E-6	2.5E-5
GO_GOLGI_APPARATUS	1552	A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions. [ISBN:0198506732]	81	0.0522	2.35E-6	3.05E-5
GO_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_CYTOPLASM	196	All of the contents of a plasma membrane bounded cell projection, excluding the plasma membrane surrounding the projection. [GOC:krc, GOC:mah]	20	0.1020	2.81E-6	3.6E-5
GO_CLATHRIN_COATED_VESICLE	186	A vesicle with a coat formed of clathrin connected to the membrane via one of the clathrin adaptor complexes. [GOC:mah, PMID:11252894]	19	0.1022	4.86E-6	6.16E-5
GO_CYTOPLASMIC_VESICLE_PART	1489	Any constituent part of cytoplasmic vesicle, a vesicle formed of membrane or protein, found in the cytoplasm of a cell. [GOC:jl]	77	0.0517	5.8E-6	7.26E-5
GO_TRANSPORT_VESICLE_MEMBRANE	208	The lipid bilayer surrounding a transport vesicle. [GOC:mah]	20	0.0962	6.93E-6	8.57E-5
GO_COLLAGEN_TYPE_IV_TRIMER	6	A collagen heterotrimer containing type IV alpha chains; [alpha1(IV)]2alpha2(IV) trimers are commonly observed, although more type IV alpha chains exist and may be present in type IV trimers; type IV collagen triple helices associate to form 3 dimensional nets within basement membranes. [ISBN:0721639976, PMID:19693541, PMID:21421911]	4	0.6667	1.24E-5	1.5E-4
GO_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	164	The component of a plasma membrane consisting of gene products and protein complexes that are loosely bound to one of its surfaces, but not integrated into the hydrophobic region. [GOC:curators, GOC:dos]	17	0.1037	1.24E-5	1.5E-4
GO_COMPLEX_OF_COLLAGEN_TRIMERS	19	A complex of collagen trimers such as a fibril or collagen network. [GOC:dos]	6	0.3158	1.55E-5	1.85E-4
GO_LAMELLIPODIUM	188	A thin sheetlike process extended by the leading edge of a migrating cell or extending cell process; contains a dense meshwork of actin filaments. [ISBN:0815316194]	18	0.0957	2.08E-5	2.45E-4
GO_CATENIN_COMPLEX	29	Complex of peripheral cytoplasmic proteins (alpha-, beta- and gamma-catenin) that interact with the cytoplasmic region of uvomorulin/E-cadherin to connect it to the actin cytoskeleton. [ISBN:0198599323]	7	0.2414	2.12E-5	2.46E-4
GO_EARLY_ENDOSOME	345	A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways. [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]	26	0.0754	2.66E-5	3.06E-4
GO_CALCIUM_CHANNEL_COMPLEX	66	An ion channel complex through which calcium ions pass. [GOC:mah]	10	0.1515	3.05E-5	3.47E-4
GO_ENDOSOME	888	A vacuole to which materials ingested by endocytosis are delivered. [ISBN:0198506732, PMID:19696797]	50	0.0563	3.12E-5	3.51E-4
GO_APICAL_JUNCTION_COMPLEX	143	A functional unit located near the cell apex at the points of contact between epithelial cells, which in vertebrates is composed of the tight junction, the zonula adherens, and desmosomes and in some invertebrates, such as Drosophila, is composed of the subapical complex (SAC), the zonula adherens and the septate junction. Functions in the regulation of cell polarity, tissue integrity and intercellular adhesion and permeability. [GOC:go_curators, GOC:kmv, PMID:12525486, PMID:15196556]	15	0.1049	3.45E-5	3.84E-4
GO_TIGHT_JUNCTION	128	A cell-cell junction that seals cells together in an epithelium in a way that prevents even small molecules from leaking from one side of the sheet to the other. [ISBN:0815332181]	14	0.1094	3.92E-5	4.32E-4
GO_SCHAFFER_COLLATERAL__CA1_SYNAPSE	82	A synapse between the Schaffer collateral axon of a CA3 pyramidal cell and a CA1 pyramidal cell. [PMID:16399689]	11	0.1341	3.99E-5	4.34E-4
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	43	A protein complex that forms a transmembrane channel through which calcium ions may pass in response to changes in membrane potential. [GOC:mah]	8	0.1860	4.16E-5	4.48E-4
GO_HIPPOCAMPAL_MOSSY_FIBER_TO_CA3_SYNAPSE	32	One of the giant synapses that form between the mossy fiber axons of dentate gyrus granule cells and the large complex spines of CA3 pyramidal cells. It consists of a giant bouton known as the mossy fiber expansion, synapsed to the complex, multiheaded spine (thorny excresence) of a CA3 pyramidal cell. [DOI:10.1002/1096-9861, PMID:13869693, PMID:23264762]	7	0.2188	4.21E-5	4.49E-4
GO_CLATHRIN_COATED_VESICLE_MEMBRANE	113	The lipid bilayer surrounding a clathrin-coated vesicle. [GOC:mah]	13	0.1150	4.32E-5	4.55E-4
GO_POLYMERIC_CYTOSKELETAL_FIBER	715	A component of the cytoskeleton consisting of a homo or heteropolymeric fiber constructed from an indeterminate number of protein subunits. [GOC:dos]	42	0.0587	5.15E-5	5.37E-4
GO_BASEMENT_MEMBRANE_COLLAGEN_TRIMER	8	Any collagen timer that is part of a basement membrane. [GOC:dos, PMID:21421911]	4	0.5000	5.51E-5	5.68E-4
GO_MICROTUBULE	410	Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle. [ISBN:0879693568]	28	0.0683	7.59E-5	7.75E-4
GO_DENDRITIC_SHAFT	35	Cylindric portion of the dendrite, directly stemming from the perikaryon, and carrying the dendritic spines. [GOC:nln]	7	0.2000	7.77E-5	7.86E-4
GO_ENDOPLASMIC_RETICULUM_PART	1350	Any constituent part of the endoplasmic reticulum, the irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. [GOC:jl]	67	0.0496	8.02E-5	8.03E-4
