Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_CHOLESTEROL_TRANSPORTER_ACTIVITY	20	"Enables the directed movement of cholesterol into, out of or within a cell, or between cells. Cholesterol is the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones. [GOC:ai]"	4	0.2	3.03E-04	1.28E-02
GO_ISOPRENOID_BINDING	36	"Interacting selectively and non-covalently with any isoprenoid compound, isoprene (2-methylbuta-1,3-diene) or compounds containing or derived from linked isoprene (3-methyl-2-butenylene) residues. [GOC:jl]"	5	0.1389	3.15E-04	1.30E-02
GO_STEROL_BINDING	56	"Interacting selectively and non-covalently with a sterol, any steroid containing a hydroxy group in the 3 position, closely related to cholestan-3-ol. [CHEBI:15889, GOC:mah]"	6	0.1071	3.40E-04	1.36E-02
GO_CYCLASE_REGULATOR_ACTIVITY	9	"Modulates the activity of an enzyme that catalyzes a ring closure reaction. [GOC:dph, GOC:tb]"	3	0.3333	3.62E-04	1.41E-02
GO_PEPTIDE_HORMONE_RECEPTOR_BINDING	21	Interacting selectively and non-covalently with a receptor for peptide hormones. [GOC:ai]	4	0.1905	3.69E-04	1.41E-02
GO_SODIUM_CHANNEL_ACTIVITY	40	"Enables the facilitated diffusion of a sodium ion (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism. [GOC:BHF, GOC:mtg_transport, GOC:pr, ISBN:0815340729]"	5	0.125	5.21E-04	1.94E-02
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_NITROGENOUS_GROUPS	23	"Catalysis of the transfer of a nitrogenous group from one compound (donor) to another (acceptor). [GOC:jl, ISBN:0198506732]"	4	0.1739	5.32E-04	1.94E-02
GO_COPPER_ION_BINDING	61	Interacting selectively and non-covalently with copper (Cu) ions. [GOC:ai]	6	0.0984	5.42E-04	1.94E-02
GO_ALCOHOL_BINDING	85	"Interacting selectively and non-covalently with an alcohol, any of a class of alkyl compounds containing a hydroxyl group. [GOC:jl, ISBN:0198506732]"	7	0.0824	5.64E-04	1.97E-02
GO_CARBOHYDRATE_BINDING	270	"Interacting selectively and non-covalently with any carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates. [CHEBI:16646, GOC:mah]"	13	0.0481	6.89E-04	2.33E-02
GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_LINEAR_AMIDINES	11	"Catalysis of the hydrolysis of any non-peptide carbon-nitrogen bond in a linear amidine, a compound of the form R-C(=NH)-NH2. [ISBN:0198506732]"	3	0.2727	6.94E-04	2.33E-02
GO_PEPTIDE_RECEPTOR_ACTIVITY	152	Combining with an extracellular or intracellular peptide to initiate a change in cell activity. [GOC:jl]	9	0.0592	1.09E-03	3.53E-02
GO_STEROID_BINDING	95	"Interacting selectively and non-covalently with a steroid, any of a large group of substances that have in common a ring system based on 1,2-cyclopentanoperhydrophenanthrene. [GOC:jl, ISBN:0198506732]"	7	0.0737	1.09E-03	3.53E-02
GO_ACTIN_FILAMENT_BINDING	190	"Interacting selectively and non-covalently with an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits. [ISBN:0198506732]"	10	0.0526	1.44E-03	4.55E-02
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	159	Enables the transfer of potassium ions (K+) from one side of a membrane to the other. [GOC:ai]	9	0.0566	1.49E-03	4.62E-02
