"","X","Chromosome","Start","End","Strand","Strand.1","AddressA","AddressB","Design","Color","Context","Random","HumanMethylation27","Mismatches.A","Mismatches.B","CGI.Relation","CpG","GC","SNPs.3","SNPs.5","SNPs.Full","Cross.reactive","ID"
"73","cg12257384","chr1",935456,935457,"+","+",62657470,27803362,"I","Grn","CG",FALSE,FALSE,0,0,"Island",17,76,0,1,2,0,"cg12257384"
"89","cg13917577","chr1",957119,957120,"-","-",12763507,12763507,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",3,62,1,1,1,0,"cg13917577"
"100","cg23801338","chr1",985239,985240,"-","-",25744324,48758383,"I","Grn","CG",FALSE,FALSE,0,0,"South Shore",8,73,1,1,1,0,"cg23801338"
"101","cg11853970","chr1",986037,986038,"-","-",22754322,22754322,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",6,76,1,1,3,0,"cg11853970"
"106","cg17098415","chr1",995021,995022,"-","-",60640366,32728509,"I","Red","CG",FALSE,FALSE,0,0,"Island",13,78,1,1,1,0,"cg17098415"
"124","cg18943819","chr1",1053794,1053795,"+","+",24736357,24736357,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",3,68,1,1,2,0,"cg18943819"
"125","cg26346563","chr1",1056347,1056348,"+","+",46646345,46646345,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",3,61,1,1,1,0,"cg26346563"
"129","cg21775619","chr1",1066087,1066088,"-","-",26634393,52621455,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",6,73,1,1,1,0,"cg21775619"
"130","cg07179016","chr1",1066277,1066278,"+","+",20624445,20624445,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,73,0,1,1,0,"cg07179016"
"132","cg09032281","chr1",1067397,1067398,"-","-",53808362,22701382,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",6,61,0,1,1,0,"cg09032281"
"136","cg20254790","chr1",1084473,1084474,"+","+",10795450,10795450,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,59,1,1,1,0,"cg20254790"
"144","cg22109930","chr1",1101302,1101303,"-","-",35614322,35614322,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",4,70,1,1,1,0,"cg22109930"
"147","cg02825344","chr1",1102294,1102295,"+","+",52718326,52718326,"II","Both","CG",FALSE,FALSE,1,0,"South Shore",4,69,1,1,1,0,"cg02825344"
"149","cg26578072","chr1",1108521,1108522,"-","-",43709317,43709317,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",4,69,0,1,1,2,"cg26578072"
"150","cg14786652","chr1",1109192,1109193,"+","+",67698321,34789454,"I","Red","CG",FALSE,FALSE,0,0,"North Shore",5,71,0,1,1,0,"cg14786652"
"152","cg25544075","chr1",1109315,1109316,"-","-",48730495,48730495,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,72,1,1,1,0,"cg25544075"
"157","cg00146669","chr1",1132962,1132963,"+","+",13768477,13768477,"II","Both","CG",FALSE,FALSE,0,0,"Island",11,80,0,1,1,0,"cg00146669"
"159","cg22696995","chr1",1136667,1136668,"+","+",38770388,10724371,"I","Red","CG",FALSE,FALSE,0,0,"Island",11,79,1,1,1,0,"cg22696995"
"170","cg22798412","chr1",1156246,1156247,"-","-",20606432,13760307,"I","Grn","CG",FALSE,FALSE,0,0,"South Shore",9,64,1,1,1,0,"cg22798412"
"171","cg00062072","chr1",1157684,1157685,"-","-",20730323,39742401,"I","Red","CG",FALSE,FALSE,0,0,"North Shore",4,72,1,1,1,0,"cg00062072"
"174","cg09819798","chr1",1159106,1159107,"+","+",38605422,38605422,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",5,70,1,1,1,0,"cg09819798"
"175","cg05638471","chr1",1161382,1161383,"+","+",74723358,74723358,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",5,60,1,1,1,0,"cg05638471"
"176","cg18367529","chr1",1161866,1161867,"-","-",20666425,20666425,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",3,54,1,1,1,0,"cg18367529"
"180","cg25619287","chr1",1164537,1164538,"-","-",27691381,27691381,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",5,45,1,1,2,0,"cg25619287"
"184","cg15582176","chr1",1183528,1183529,"-","-",74631475,74631475,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",2,68,1,1,2,0,"cg15582176"
"189","cg06754550","chr1",1190523,1190524,"-","-",44644465,44644465,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,70,1,1,1,0,"cg06754550"
"194","cg03525583","chr1",1197536,1197537,"+","+",61777371,61777371,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",6,56,0,1,1,0,"cg03525583"
"200","cg22161575","chr1",1229112,1229113,"+","+",48713459,48713459,"II","Both","CG",FALSE,FALSE,0,0,"Island",9,79,1,1,1,0,"cg22161575"
"201","cg10093859","chr1",1230440,1230441,"+","+",44629510,44752304,"I","Red","CG",FALSE,FALSE,0,0,"South Shore",6,73,1,1,1,0,"cg10093859"
"204","cg07425625","chr1",1243562,1243563,"-","-",25707413,55610444,"I","Grn","CG",FALSE,FALSE,0,0,"Island",14,80,1,1,1,0,"cg07425625"
"205","cg06984883","chr1",1243564,1243565,"-","-",53655376,27786444,"I","Red","CG",FALSE,FALSE,0,0,"Island",13,80,1,1,1,0,"cg06984883"
"208","cg10206052","chr1",1251231,1251232,"+","+",16619420,16619420,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",4,71,1,1,1,0,"cg10206052"
"209","cg08939275","chr1",1251322,1251323,"+","+",61664444,61664444,"II","Both","CG",FALSE,FALSE,1,0,"North Shelf",4,49,1,1,1,0,"cg08939275"
"213","cg17612270","chr1",1259944,1259945,"+","+",14732450,14732450,"II","Both","CG",FALSE,FALSE,0,0,"Island",9,72,1,1,1,0,"cg17612270"
"214","cg22397910","chr1",1259947,1259948,"+","+",52688368,39687340,"I","Grn","CG",FALSE,FALSE,0,0,"Island",9,72,1,1,1,0,"cg22397910"
"218","cg16590012","chr1",1265354,1265355,"+","+",12663370,73636342,"I","Grn","CG",FALSE,FALSE,0,0,"Island",7,56,1,1,1,0,"cg16590012"
"220","cg16430279","chr1",1266504,1266505,"+","+",27719474,49764471,"I","Red","CG",FALSE,FALSE,0,0,"North Shore",5,65,1,1,1,0,"cg16430279"
"225","cg19898526","chr1",1275714,1275715,"+","+",20780460,10690394,"I","Grn","CG",FALSE,FALSE,0,0,"South Shelf",5,64,1,1,1,0,"cg19898526"
"241","cg13169132","chr1",1362340,1362341,"+","+",28732384,17730383,"I","Grn","CG",FALSE,FALSE,0,0,"North Shore",3,64,1,1,1,0,"cg13169132"
"242","cg11156891","chr1",1366274,1366275,"-","-",24736430,63612376,"I","Red","CG",FALSE,FALSE,0,1,"South Shelf",7,69,1,1,1,0,"cg11156891"
"258","cg15688683","chr1",1425815,1425816,"+","+",72613482,72613482,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,59,1,1,1,0,"cg15688683"
"263","cg12648677","chr1",1447365,1447366,"+","+",13768510,68728455,"I","Grn","CG",FALSE,FALSE,0,0,"Island",11,68,0,1,1,0,"cg12648677"
"268","cg06839383","chr1",1460464,1460465,"-","-",23605454,23605454,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",4,66,1,1,2,1,"cg06839383"
"271","cg01802295","chr1",1477194,1477195,"-","-",32697411,32697411,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",3,42,0,1,1,0,"cg01802295"
"278","cg03528848","chr1",1510724,1510725,"-","-",69641506,37616346,"I","Red","CG",FALSE,FALSE,0,0,"Island",6,60,1,1,1,0,"cg03528848"
"290","cg26660744","chr1",1573181,1573182,"-","-",48613414,48613414,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",5,56,1,1,1,0,"cg26660744"
"293","cg15126211","chr1",1590291,1590292,"+","+",52724397,47635305,"I","Red","CG",FALSE,FALSE,0,1,"Island",14,73,1,1,2,1,"cg15126211"
"301","cg05972376","chr1",1624399,1624400,"-","-",30721505,30721505,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,62,0,1,1,1,"cg05972376"
"311","cg00669623","chr1",1655867,1655868,"+","+",47754418,47754418,"II","Both","CG",FALSE,TRUE,0,0,"Island",7,57,1,1,1,0,"cg00669623"
"314","cg11987751","chr1",1663860,1663861,"+","+",11733380,65689343,"I","Grn","CG",FALSE,FALSE,0,0,"Open Sea",3,54,1,1,1,0,"cg11987751"
"326","cg03386811","chr1",1684063,1684064,"-","-",48771399,61634419,"I","Red","CG",FALSE,FALSE,0,0,"North Shore",7,58,1,1,1,0,"cg03386811"
"327","cg17282211","chr1",1686080,1686081,"+","+",46735437,12612426,"I","Red","CG",FALSE,FALSE,0,0,"South Shore",7,63,1,1,1,0,"cg17282211"
"328","cg27433479","chr1",1687481,1687482,"+","+",42614354,42614354,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",4,72,1,1,1,0,"cg27433479"
"329","cg18947110","chr1",1688383,1688384,"+","+",74744369,74744369,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",4,64,1,1,1,0,"cg18947110"
"338","cg26160180","chr1",1822883,1822884,"-","-",44693487,38710500,"I","Red","CG",FALSE,FALSE,0,0,"Island",11,80,1,1,1,0,"cg26160180"
"341","cg00007800","chr1",1838518,1838519,"-","-",46778372,46778372,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",1,64,0,1,1,0,"cg00007800"
"354","cg16573863","chr1",1876015,1876016,"-","-",25698489,25698489,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",2,39,1,1,1,0,"cg16573863"
"358","cg13204758","chr1",1889213,1889214,"+","+",58713315,23647467,"I","Grn","CG",FALSE,FALSE,0,0,"South Shelf",4,74,1,1,1,0,"cg13204758"
"359","cg10020121","chr1",1893502,1893503,"+","+",14774368,14774368,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",4,55,1,1,1,0,"cg10020121"
"361","cg03330818","chr1",1896553,1896554,"-","-",41730447,41730447,"II","Both","CG",FALSE,FALSE,0,0,"Island",8,70,1,1,1,0,"cg03330818"
"362","cg18163909","chr1",1897959,1897960,"+","+",52709380,21796313,"I","Red","CG",FALSE,FALSE,0,0,"South Shore",7,62,1,1,1,0,"cg18163909"
"363","cg04245726","chr1",1903366,1903367,"-","-",20652387,57710505,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",6,77,1,1,2,0,"cg04245726"
"368","cg02697258","chr1",1911120,1911121,"-","-",64755389,14678457,"I","Grn","CG",FALSE,FALSE,0,0,"Island",9,64,1,1,1,3,"cg02697258"
"374","cg01799930","chr1",1914124,1914125,"-","-",43699502,41760480,"I","Red","CG",FALSE,FALSE,0,0,"South Shore",8,70,1,1,1,0,"cg01799930"
"384","cg06980013","chr1",1945959,1945960,"+","+",65745472,65745472,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",7,62,1,1,1,0,"cg06980013"
"393","cg15198247","chr1",1974844,1974845,"-","-",17631302,44667393,"I","Red","CG",FALSE,FALSE,0,0,"Island",8,71,1,1,1,0,"cg15198247"
"395","cg11863397","chr1",1976541,1976542,"-","-",16614303,16614303,"II","Both","CG",FALSE,FALSE,1,0,"Island",7,70,1,1,1,0,"cg11863397"
"400","cg07570618","chr1",1992389,1992390,"+","+",62789335,62789335,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",6,60,1,1,1,0,"cg07570618"
"403","cg17355877","chr1",1998716,1998717,"-","-",32770399,32770399,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,51,1,1,2,0,"cg17355877"
"404","cg24475758","chr1",1998863,1998864,"-","-",72798470,72798470,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",5,62,1,1,1,0,"cg24475758"
"419","cg22868225","chr1",2015815,2015816,"+","+",56790395,44792386,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",6,60,1,1,1,0,"cg22868225"
"424","cg10761639","chr1",2023794,2023795,"-","-",48664460,48664460,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",5,68,0,1,1,0,"cg10761639"
"434","cg09179248","chr1",2046783,2046784,"+","+",58781392,41606311,"I","Red","CG",FALSE,FALSE,0,0,"Island",7,62,0,1,1,0,"cg09179248"
"436","cg20151494","chr1",2047581,2047582,"+","+",61774384,61774384,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",3,54,1,1,1,0,"cg20151494"
"444","cg24604214","chr1",2092394,2092395,"-","-",28781336,28781336,"II","Both","CG",FALSE,FALSE,1,0,"Open Sea",4,71,1,1,1,0,"cg24604214"
"449","cg26227225","chr1",2121039,2121040,"-","-",11801364,70688369,"I","Red","CG",FALSE,FALSE,0,0,"Island",8,69,1,1,1,0,"cg26227225"
"472","cg24740515","chr1",2229140,2229141,"-","-",19624417,74651303,"I","Red","CG",FALSE,FALSE,0,0,"North Shelf",7,61,1,1,1,0,"cg24740515"
"479","cg09806683","chr1",2238895,2238896,"+","+",18680377,40794401,"I","Red","CG",FALSE,FALSE,0,0,"Island",7,68,1,1,1,0,"cg09806683"
"481","cg20989215","chr1",2250617,2250618,"-","-",57647393,57647393,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",3,52,1,1,1,0,"cg20989215"
"487","cg10057168","chr1",2263426,2263427,"+","+",56614396,44623326,"I","Grn","CG",FALSE,FALSE,0,0,"North Shelf",14,76,1,1,1,0,"cg10057168"
"488","cg17453416","chr1",2263665,2263666,"+","+",39602425,39602425,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",5,68,1,1,1,0,"cg17453416"
"497","cg12077294","chr1",2276369,2276370,"+","+",13792390,13792390,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,60,1,1,2,0,"cg12077294"
"500","cg05119206","chr1",2284167,2284168,"-","-",27807460,27807460,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,58,1,1,1,0,"cg05119206"
"503","cg06799533","chr1",2307758,2307759,"-","-",11730417,64722342,"I","Grn","CG",FALSE,FALSE,0,0,"South Shelf",8,65,1,1,1,0,"cg06799533"
"512","cg03005781","chr1",2329563,2329564,"+","+",22647417,22647417,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",5,58,1,1,1,0,"cg03005781"
"520","cg07178553","chr1",2359658,2359659,"-","-",35774480,35774480,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",2,67,1,1,1,0,"cg07178553"
"524","cg06736229","chr1",2373387,2373388,"-","-",35758367,35758367,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",3,63,1,1,1,0,"cg06736229"
"527","cg14032998","chr1",2381623,2381624,"-","-",56797417,68728433,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",4,62,0,1,1,0,"cg14032998"
"547","cg24955743","chr1",2454705,2454706,"+","+",23810445,30688335,"I","Red","CG",FALSE,FALSE,0,0,"South Shore",5,66,0,1,1,0,"cg24955743"
"555","cg04999950","chr1",2479645,2479646,"+","+",72738448,72738448,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",3,68,1,1,1,0,"cg04999950"
"558","cg24688871","chr1",2520499,2520500,"+","+",62757454,62757454,"II","Both","CG",FALSE,FALSE,1,0,"South Shore",5,74,1,1,2,0,"cg24688871"
"559","cg21209485","chr1",2529359,2529360,"+","+",55669332,55669332,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",5,62,1,1,1,0,"cg21209485"
"561","cg19712277","chr1",2537838,2537839,"-","-",73748308,62694395,"I","Red","CG",FALSE,FALSE,0,0,"Island",6,72,1,1,1,0,"cg19712277"
"567","cg26523729","chr1",2576960,2576961,"-","-",38703376,19695378,"I","Red","CG",FALSE,FALSE,0,0,"South Shelf",7,66,0,1,1,0,"cg26523729"
"569","cg21584800","chr1",2689171,2689172,"+","+",69626448,69626448,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,64,1,1,1,0,"cg21584800"
"573","cg01433109","chr1",2725631,2725632,"-","-",53738473,19710460,"I","Grn","CG",FALSE,FALSE,0,0,"Open Sea",9,70,1,1,2,0,"cg01433109"
"576","cg24304823","chr1",2794117,2794118,"-","-",63802489,63802489,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",6,72,1,1,1,0,"cg24304823"
"578","cg03543952","chr1",2801150,2801151,"+","+",48747440,37723503,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",6,53,1,1,1,0,"cg03543952"
"585","cg09514918","chr1",2832006,2832007,"-","-",64769347,64769347,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",3,65,1,1,1,0,"cg09514918"
"592","cg04141080","chr1",2847220,2847221,"-","-",48617498,10741347,"I","Red","CG",FALSE,FALSE,0,0,"Island",7,72,1,1,1,0,"cg04141080"
"593","cg00878533","chr1",2848864,2848865,"-","-",37725338,37725338,"II","Both","CG",FALSE,FALSE,1,0,"North Shore",2,57,1,1,1,0,"cg00878533"
"597","cg03986665","chr1",2864015,2864016,"-","-",38793342,27797424,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",6,58,1,1,1,0,"cg03986665"
"601","cg00560689","chr1",2883706,2883707,"+","+",32690494,32690494,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",4,64,1,1,1,0,"cg00560689"
"608","cg12710637","chr1",2918373,2918374,"+","+",35623477,35623477,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",6,61,1,1,1,0,"cg12710637"
"612","cg11452087","chr1",2918752,2918753,"+","+",43611452,43611452,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,57,1,1,3,0,"cg11452087"
"617","cg22526216","chr1",2940333,2940334,"+","+",57711330,57711330,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",3,51,0,1,1,0,"cg22526216"
"620","cg19825898","chr1",2949651,2949652,"-","-",53751399,56659491,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",9,67,1,1,3,0,"cg19825898"
"645","cg02368820","chr1",3052501,3052502,"-","-",31792398,30770448,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",6,71,1,1,1,0,"cg02368820"
"662","cg12133962","chr1",3090134,3090135,"-","-",14755430,68807358,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",4,64,1,1,1,0,"cg12133962"
"666","cg07902789","chr1",3098629,3098630,"-","-",63789482,63789482,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",4,58,1,1,1,0,"cg07902789"
"680","cg21789941","chr1",3138557,3138558,"+","+",18630503,18630503,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,51,1,1,1,0,"cg21789941"
"681","cg07029287","chr1",3143334,3143335,"-","-",73738390,73738390,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",6,58,1,1,1,0,"cg07029287"
"682","cg24514678","chr1",3144536,3144537,"+","+",12762477,12762477,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",5,53,1,1,1,0,"cg24514678"
"683","cg19600583","chr1",3145639,3145640,"-","-",46694416,46694416,"II","Both","CG",TRUE,FALSE,0,0,"North Shelf",4,59,1,1,2,0,"cg19600583"
"685","cg21786372","chr1",3147622,3147623,"-","-",27698342,27698342,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",4,58,1,1,2,0,"cg21786372"
"688","cg04855369","chr1",3155418,3155419,"+","+",56681444,56681444,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",6,66,1,1,2,0,"cg04855369"
"690","cg01709189","chr1",3158842,3158843,"+","+",25606359,24613337,"I","Red","CG",FALSE,FALSE,0,0,"South Shore",5,59,1,1,1,0,"cg01709189"
"701","cg03396604","chr1",3193944,3193945,"+","+",63607505,63607505,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",3,70,1,1,2,0,"cg03396604"
"702","cg07045460","chr1",3194247,3194248,"-","-",41610321,41610321,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",5,61,0,1,1,0,"cg07045460"
"705","cg05098425","chr1",3203766,3203767,"-","-",65648388,65648388,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,61,1,1,1,0,"cg05098425"
"706","cg02295527","chr1",3203769,3203770,"-","-",74646403,74646403,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,60,0,1,1,0,"cg02295527"
"721","cg11138362","chr1",3239992,3239993,"-","-",43645418,12739332,"I","Grn","CG",FALSE,FALSE,0,0,"Island",6,64,1,1,1,0,"cg11138362"
"744","cg13858944","chr1",3344880,3344881,"+","+",31739403,31739403,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",5,65,2,2,3,0,"cg13858944"
"750","cg18936550","chr1",3368447,3368448,"-","-",52633366,52633366,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",3,50,1,1,1,0,"cg18936550"
"754","cg16734017","chr1",3385914,3385915,"+","+",27663421,52603454,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",6,68,1,1,1,0,"cg16734017"
"757","cg11820021","chr1",3394871,3394872,"-","-",24785371,24785371,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,68,1,1,2,0,"cg11820021"
"763","cg12061019","chr1",3417208,3417209,"+","+",53746457,27692392,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",7,68,0,1,1,0,"cg12061019"
"765","cg10331884","chr1",3421598,3421599,"+","+",38625424,38625424,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",4,61,1,1,3,0,"cg10331884"
"770","cg00167913","chr1",3446295,3446296,"+","+",34621465,34621465,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",2,70,2,2,3,0,"cg00167913"
"773","cg18288161","chr1",3469677,3469678,"+","+",22729361,22729361,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,64,1,1,1,0,"cg18288161"
"775","cg27578730","chr1",3473364,3473365,"-","-",48661334,48661334,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",6,56,1,1,2,0,"cg27578730"
"776","cg24536161","chr1",3477695,3477696,"-","-",57752344,21723406,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",6,67,1,1,1,0,"cg24536161"
"784","cg26524905","chr1",3506323,3506324,"+","+",38785324,38785324,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,52,1,1,1,0,"cg26524905"
"791","cg06177107","chr1",3551901,3551902,"-","-",41621388,41621388,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,50,1,2,2,0,"cg06177107"
"793","cg09429529","chr1",3556964,3556965,"-","-",20624407,20624407,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,70,1,1,1,0,"cg09429529"
"808","cg21388339","chr1",3606550,3606551,"-","-",69638509,69638509,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",4,67,1,1,1,0,"cg21388339"
"811","cg08887707","chr1",3613723,3613724,"+","+",29640498,36644306,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",9,73,1,1,3,0,"cg08887707"
"829","cg10334679","chr1",3693751,3693752,"-","-",38654324,38654324,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,61,1,1,2,0,"cg10334679"
"832","cg07374414","chr1",3701164,3701165,"-","-",51660440,63725320,"I","Grn","CG",FALSE,FALSE,0,0,"North Shelf",9,55,1,1,2,0,"cg07374414"
"841","cg14922732","chr1",3731959,3731960,"-","-",41600370,41600370,"II","Both","CG",FALSE,FALSE,0,0,"Island",9,64,1,1,1,0,"cg14922732"
"844","cg15079222","chr1",3744272,3744273,"+","+",40767505,36793457,"I","Red","CG",TRUE,FALSE,0,0,"Open Sea",2,53,1,1,2,0,"cg15079222"
"849","cg12594933","chr1",3806817,3806818,"+","+",32751397,32751397,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",2,47,1,1,1,0,"cg12594933"
"850","cg18886157","chr1",3807387,3807388,"+","+",69780472,69780472,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",4,58,1,1,1,0,"cg18886157"
"851","cg09800633","chr1",3808169,3808170,"+","+",57650303,20639411,"I","Red","CG",FALSE,FALSE,0,0,"North Shore",6,55,1,1,2,0,"cg09800633"
"858","cg12279968","chr1",3826425,3826426,"+","+",55769316,30732351,"I","Red","CG",FALSE,FALSE,0,0,"South Shore",3,62,0,1,1,0,"cg12279968"
"860","cg05232133","chr1",3828901,3828902,"+","+",65629468,62691344,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",6,61,1,1,1,0,"cg05232133"
"869","cg16548568","chr1",4188045,4188046,"+","+",45740422,45740422,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",7,63,1,1,1,0,"cg16548568"
"870","cg12068813","chr1",4192648,4192649,"-","-",28613394,51687430,"I","Red","CG",FALSE,FALSE,0,0,"Island",9,60,1,1,1,0,"cg12068813"
"885","cg20252997","chr1",4481995,4481996,"-","-",63753425,63753425,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,42,1,1,1,0,"cg20252997"
"890","cg17017317","chr1",4645438,4645439,"-","-",28763304,28763304,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",8,66,1,1,1,0,"cg17017317"
"893","cg26840333","chr1",4711419,4711420,"-","-",51733406,51733406,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",8,57,1,1,1,0,"cg26840333"
"896","cg16563230","chr1",4714991,4714992,"+","+",44745486,10768350,"I","Grn","CG",FALSE,FALSE,0,0,"Island",17,77,0,1,1,0,"cg16563230"
