Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_DETECTION_OF_VISIBLE_LIGHT	63	"The series of events in which a visible light stimulus is received by a cell and converted into a molecular signal. A visible light stimulus is electromagnetic radiation that can be perceived visually by an organism; for organisms lacking a visual system, this can be defined as light with a wavelength within the range 380 to 780 nm. [GOC:go_curators, ISBN:0198506732]"	10	0.1587	9.13E-08	2.32E-05
GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	259	"Any process that modulates the frequency, rate or extent of a muscle system process, a multicellular organismal process carried out by any of the organs or tissues in a muscle system. [GOC:dph, GOC:tb]"	19	0.0734	9.57E-08	2.34E-05
GO_PHOTOTRANSDUCTION_VISIBLE_LIGHT	36	"The sequence of reactions within a cell required to convert absorbed photons from visible light into a molecular signal. A visible light stimulus is electromagnetic radiation that can be perceived visually by an organism; for organisms lacking a visual system, this can be defined as light with a wavelength within the range 380 to 780 nm. [GOC:go_curators, ISBN:0198506732]"	8	0.2222	1.17E-07	2.77E-05
GO_INTESTINAL_LIPID_ABSORPTION	16	"Any process in which lipids are taken up from the contents of the intestine. [GOC:dos, GOC:sl, PMID:18768481]"	6	0.375	1.48E-07	3.39E-05
GO_SECOND_MESSENGER_MEDIATED_SIGNALING	442	"Any intracellular signal transduction in which the signal is passed on within the cell via a second messenger; a small molecule or ion that can be quickly generated or released from intracellular stores, and can diffuse within the cell. Second-messenger signaling includes production or release of the second messenger, and effectors downstream of the second messenger that further transmit the signal within the cell. [GOC:signaling, ISBN:0815316194, PMID:15221855, Wikipedia:Second_messenger_system]"	25	0.0566	1.58E-07	3.52E-05
GO_EXCRETION	67	"The elimination by an organism of the waste products that arise as a result of metabolic activity. These products include water, carbon dioxide (CO2), and nitrogenous compounds. [ISBN:0192801023]"	10	0.1493	1.67E-07	3.61E-05
GO_REGULATION_OF_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	26	"Any process that modulates the frequency, rate or extent of rhodopsin-mediated signaling. [GOC:mah]"	7	0.2692	1.76E-07	3.69E-05
GO_REGULATION_OF_MUSCLE_CONTRACTION	170	"Any process that modulates the frequency, rate or extent of muscle contraction. [GOC:go_curators]"	15	0.0882	2.01E-07	4.11E-05
GO_MUSCLE_CONTRACTION	360	"A process in which force is generated within muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. [GOC:ef, GOC:mtg_muscle, ISBN:0198506732]"	22	0.0611	2.36E-07	4.69E-05
GO_MYOFIBRIL_ASSEMBLY	70	"Formation of myofibrils, the repeating units of striated muscle. [GOC:mah]"	10	0.1429	2.55E-07	4.94E-05
GO_METAL_ION_HOMEOSTASIS	656	"Any process involved in the maintenance of an internal steady state of metal ions within an organism or cell. [GOC:ai, GOC:jid, GOC:mah]"	31	0.0473	2.94E-07	5.44E-05
GO_DETECTION_OF_STIMULUS	691	"The series of events in which a stimulus is received by a cell or organism and converted into a molecular signal. [GOC:add, GOC:ai, GOC:dph, GOC:mah]"	32	0.0463	2.96E-07	5.44E-05
GO_DEFENSE_RESPONSE	1709	"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack. [GOC:go_curators]"	58	0.0339	3.25E-07	5.82E-05
GO_CELLULAR_ION_HOMEOSTASIS	664	Any process involved in the maintenance of an internal steady state of ions at the level of a cell. [GOC:mah]	31	0.0467	3.81E-07	6.62E-05
GO_CELLULAR_CHEMICAL_HOMEOSTASIS	807	"Any biological process involved in the maintenance of an internal steady state of a chemical at the level of the cell. [GOC:isa_complete, GOC:jid]"	35	0.0434	3.87E-07	6.62E-05
GO_METAL_ION_TRANSPORT	885	"The directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"	37	0.0418	4.38E-07	7.19E-05
GO_STRIATED_MUSCLE_CELL_DIFFERENTIATION	286	"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle. [CL:0000737, GOC:ai]"	19	0.0664	4.43E-07	7.19E-05
GO_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	232	"The process whose specific outcome is the progression of cardiac muscle over time, from its formation to the mature structure. [GOC:dph, GOC:jid, GOC:lm]"	17	0.0733	4.56E-07	7.19E-05
GO_ION_HOMEOSTASIS	813	Any process involved in the maintenance of an internal steady state of ions within an organism or cell. [GOC:ai]	35	0.0431	4.60E-07	7.19E-05
GO_LIPID_DIGESTION	19	"The whole of the physical, chemical, and biochemical processes carried out by living organisms to break down ingested lipids into components that may be easily absorbed and directed into metabolism. [GOC:go_curators]"	6	0.3158	4.80E-07	7.35E-05
GO_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	355	"Any process involved in the maintenance of an internal steady state of calcium ions within the cytosol of a cell or between the cytosol and its surroundings. [GOC:ai, GOC:mah, GOC:rph]"	21	0.0592	7.49E-07	1.12E-04
GO_CIRCULATORY_SYSTEM_PROCESS	548	A organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism. [GOC:mtg_cardio]	27	0.0493	7.74E-07	1.12E-04
GO_REGULATION_OF_TRANSPORT	1842	"Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"	60	0.0326	7.78E-07	1.12E-04
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	834	The process in which an inorganic ion is transported across a membrane. [GOC:mah]	35	0.042	8.25E-07	1.17E-04
GO_ACTIN_MEDIATED_CELL_CONTRACTION	120	The actin filament-based process in which cytoplasmic actin filaments slide past one another resulting in contraction of all or part of the cell body. [GOC:mah]	12	0.1	8.75E-07	1.21E-04
GO_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	1144	"Any process that modulates the frequency, rate or extent of gene expression after the production of an RNA transcript. [GOC:dph, GOC:tb]"	43	0.0376	8.87E-07	1.21E-04
GO_SODIUM_ION_TRANSPORT	217	"The directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"	16	0.0737	9.11E-07	1.22E-04
GO_CATION_TRANSPORT	1159	"The directed movement of cations, atoms or small molecules with a net positive charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"	43	0.0371	1.24E-06	1.63E-04
GO_INTESTINAL_ABSORPTION	35	"Any process in which nutrients are taken up from the contents of the intestine. [GOC:ai, GOC:dph]"	7	0.2	1.58E-06	2.04E-04
GO_SENSORY_PERCEPTION_OF_TASTE	67	"The series of events required for an organism to receive a gustatory stimulus, convert it to a molecular signal, and recognize and characterize the signal. Gustation involves the direct detection of chemical composition, usually through contact with chemoreceptor cells. This is a neurological process. [GOC:ai, http://www.onelook.com/]"	9	0.1343	1.73E-06	2.20E-04
GO_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS	69	The process in which the anatomical structures of cardiac muscle tissue are generated and organized. [GOC:devbiol]	9	0.1304	2.23E-06	2.78E-04
GO_MUSCLE_CELL_DEVELOPMENT	184	"The process whose specific outcome is the progression of a muscle cell over time, from its formation to the mature structure. Muscle cell development does not include the steps involved in committing an unspecified cell to the muscle cell fate. [CL:0000187, GOC:devbiol]"	14	0.0761	3.00E-06	3.68E-04
GO_CELLULAR_DEFENSE_RESPONSE	54	A defense response that is mediated by cells. [GOC:ebc]	8	0.1481	3.08E-06	3.71E-04
GO_MUSCLE_FILAMENT_SLIDING	39	"The sliding of actin thin filaments and myosin thick filaments past each other in muscle contraction. This involves a process of interaction of myosin located on a thick filament with actin located on a thin filament. During this process ATP is split and forces are generated. [GOC:mah, GOC:mtg_muscle, ISBN:0815316194]"	7	0.1795	3.41E-06	4.04E-04
GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	139	A process in which a sodium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore. [GOC:vw]	12	0.0863	4.15E-06	4.84E-04
GO_ION_TRANSMEMBRANE_TRANSPORT	1138	A process in which an ion is transported across a membrane. [GOC:mah]	41	0.036	4.49E-06	5.16E-04
GO_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION	96	"Any process that modulates the frequency, rate or extent of striated muscle contraction. [GOC:go_curators]"	10	0.1042	4.92E-06	5.57E-04
GO_REGULATION_OF_INTESTINAL_ABSORPTION	8	"Any process that modulates the frequency, rate or extent of intestinal absorption. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:12469120]"	4	0.5	5.13E-06	5.68E-04
GO_ACTIN_FILAMENT_BASED_MOVEMENT	142	"Movement of organelles or other particles along actin filaments, or sliding of actin filaments past each other, mediated by motor proteins. [GOC:BHF, GOC:mah]"	12	0.0845	5.18E-06	5.68E-04
GO_CALCIUM_MEDIATED_SIGNALING	221	Any intracellular signal transduction in which the signal is passed on within the cell via calcium ions. [GOC:signaling]	15	0.0679	5.49E-06	5.93E-04
GO_INFLAMMATORY_RESPONSE	722	"The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages. [GO_REF:0000022, GOC:mtg_15nov05, ISBN:0198506732]"	30	0.0416	6.08E-06	6.47E-04
GO_MUSCLE_TISSUE_DEVELOPMENT	408	"The progression of muscle tissue over time, from its initial formation to its mature state. Muscle tissue is a contractile tissue made up of actin and myosin fibers. [GOC:dph]"	21	0.0515	6.64E-06	6.97E-04
GO_EPITHELIAL_CELL_DIFFERENTIATION	767	"The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium. [GOC:ecd, PMID:11839751]"	31	0.0404	7.39E-06	7.65E-04
GO_STRIATED_MUSCLE_ADAPTATION	61	"Any process in which striated muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors. These adaptive events occur in both muscle fibers and associated structures (motoneurons and capillaries), and they involve alterations in regulatory mechanisms, contractile properties and metabolic capacities. [GOC:mtg_muscle]"	8	0.1311	7.87E-06	8.03E-04
GO_CATION_TRANSMEMBRANE_TRANSPORT	847	"The process in which a cation is transported across a membrane. [GOC:dos, GOC:vw]"	33	0.039	8.06E-06	8.11E-04
GO_LIPID_HOMEOSTASIS	149	"Any process involved in the maintenance of an internal steady state of lipid within an organism or cell. [GOC:BHF, GOC:rl]"	12	0.0805	8.50E-06	8.44E-04
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	204	The transfer of information occurring at the level of a multicellular organism. [GOC:go_curators]	14	0.0686	9.88E-06	9.61E-04
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	557	"Any process that modulates the frequency, rate or extent of the directed movement of a solute from one side of a membrane to the other. [GOC:mah]"	25	0.0449	9.93E-06	9.61E-04
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	527	"The directed movement of inorganic cations with a valency of one into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Inorganic cations are atoms or small molecules with a positive charge which do not contain carbon in covalent linkage. [GOC:ai]"	24	0.0455	1.17E-05	1.12E-03
GO_REGULATION_OF_BLOOD_CIRCULATION	299	"Any process that modulates the frequency, rate or extent of blood circulation. [GO_REF:0000058, GOC:mr, GOC:TermGenie, PMID:10659969]"	17	0.0569	1.40E-05	1.30E-03
GO_EPITHELIUM_DEVELOPMENT	1278	"The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure. [GOC:dph, GOC:mtg_lung]"	43	0.0336	1.40E-05	1.30E-03
GO_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	132	"The process in which a cardiac muscle precursor cell acquires specialized features of a cardiac muscle cell. Cardiac muscle cells are striated muscle cells that are responsible for heart contraction. [GOC:devbiol, GOC:mtg_heart]"	11	0.0833	1.45E-05	1.32E-03
GO_MUSCLE_ADAPTATION	132	"A process in which muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors. These adaptive events occur in both muscle fibers and associated structures (motoneurons and capillaries), and they involve alterations in regulatory mechanisms, contractile properties and metabolic capacities. [GOC:mtg_muscle, PMID:11181628, PMID:11449884, PMID:12605307]"	11	0.0833	1.45E-05	1.32E-03
GO_CIRCULATORY_SYSTEM_DEVELOPMENT	1161	"The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis. [GOC:mah, UBERON:0001009]"	40	0.0345	1.64E-05	1.47E-03
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	110	"The cellular component assembly that is part of the initial shaping of the component during its developmental progression. [GOC:dph, GOC:tb]"	10	0.0909	1.66E-05	1.47E-03
GO_MUSCLE_ORGAN_MORPHOGENESIS	88	The process in which the anatomical structures of muscle are generated and organized. [GOC:jid]	9	0.1023	1.70E-05	1.49E-03
GO_TRANSITION_BETWEEN_FAST_AND_SLOW_FIBER	11	"The process of conversion of fast-contracting muscle fibers to a slower character. This may involve slowing of contractile rate, slow myosin gene induction, increase in oxidative metabolic properties, altered electrophysiology and altered innervation. This process also regulates skeletal muscle adapatation. [GOC:ef, GOC:mtg_muscle]"	4	0.3636	2.32E-05	2.01E-03
GO_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE	71	"The process in which a lipoprotein particle is removed from the blood via receptor-mediated endocytosis and its constituent parts degraded. [GOC:ascb_2009, GOC:BHF, GOC:dph, GOC:mah, GOC:tb]"	8	0.1127	2.46E-05	2.10E-03
GO_MUSCLE_CELL_DIFFERENTIATION	378	"The process in which a relatively unspecialized cell acquires specialized features of a muscle cell. [CL:0000187, GOC:go_curators]"	19	0.0503	2.50E-05	2.11E-03
GO_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION	72	"Any process that activates or increases the frequency, rate or extent of striated muscle cell differentiation. [CL:0000737, GOC:ai]"	8	0.1111	2.72E-05	2.27E-03
GO_CARDIAC_CELL_DEVELOPMENT	95	"The process whose specific outcome is the progression of a cardiac cell over time, from its formation to the mature state. A cardiac cell is a cell that will form part of the cardiac organ of an individual. [GOC:devbiol]"	9	0.0947	3.15E-05	2.60E-03
GO_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS	322	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus. [GOC:mah]"	17	0.0528	3.58E-05	2.93E-03
GO_DIGESTIVE_SYSTEM_PROCESS	97	"A physical, chemical, or biochemical process carried out by living organisms to break down ingested nutrients into components that may be easily absorbed and directed into metabolism. [GOC:isa_complete, GOC:jid, GOC:mtg_cardio]"	9	0.0928	3.72E-05	3.00E-03
GO_HISTONE_CITRULLINATION	5	"The hydrolysis of peptidyl-arginine to form peptidyl-citrulline on a histone protein. [GOC:als, PMID:22853951, PMID:23175390]"	3	0.6	4.53E-05	3.62E-03
GO_NEGATIVE_REGULATION_OF_ACTION_POTENTIAL	13	"Any process that stops, prevents, or reduces the frequency, rate or extent of action potential creation, propagation or termination. This typically occurs via modulation of the activity or expression of voltage-gated ion channels. [GOC:go_curators]"	4	0.3077	4.90E-05	3.83E-03
GO_REGULATION_OF_FEMALE_GONAD_DEVELOPMENT	13	"Any process that modulates the frequency, rate or extent of female gonad development. [GOC:obol]"	4	0.3077	4.90E-05	3.83E-03
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	471	"Any process that modulates the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other. [GOC:mah]"	21	0.0446	5.50E-05	4.26E-03
GO_MUSCLE_STRUCTURE_DEVELOPMENT	659	"The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms. [GOC:dph]"	26	0.0395	5.90E-05	4.52E-03
GO_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS	128	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light. [GOC:mah]"	10	0.0781	6.15E-05	4.66E-03
GO_FLUID_TRANSPORT	26	"The directed movement of substances that are in liquid form in normal living conditions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"	5	0.1923	6.31E-05	4.73E-03
GO_DIVALENT_INORGANIC_CATION_TRANSPORT	476	"The directed movement of inorganic cations with a valency of two into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Inorganic cations are atoms or small molecules with a positive charge which do not contain carbon in covalent linkage. [GOC:mah]"	21	0.0441	6.39E-05	4.75E-03
GO_REGULATION_OF_SKELETAL_MUSCLE_CONTRACTION	14	"Any process that modulates the frequency, rate or extent of skeletal muscle contraction. [GOC:ef, GOC:mtg_muscle]"	4	0.2857	6.77E-05	4.98E-03
