Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	117	"Combining with a neurotransmitter and transmitting the signal to initiate a change in cell activity. [GOC:jl, GOC:signaling]"	23	0.1966	1.07E-12	6.06E-11
GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	162	The action of a molecule that contributes to the structural integrity of the extracellular matrix. [GOC:mah]	26	0.1605	4.94E-12	2.71E-10
GO_TRANSPORTER_ACTIVITY	1250	"Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells. [GOC:ai, GOC:dgf]"	85	0.068	7.14E-12	3.71E-10
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	105	"Enables the transmembrane transfer of an inorganic cation by a channel that opens when a specific ligand has been bound by the channel complex or one of its constituent parts. [GOC:mtg_transport, ISBN:0815340729]"	21	0.2	7.22E-12	3.71E-10
GO_GLYCOSAMINOGLYCAN_BINDING	222	"Interacting selectively and non-covalently with any glycan (polysaccharide) containing a substantial proportion of aminomonosaccharide residues. [GOC:jl, ISBN:0198506732]"	30	0.1351	1.08E-11	5.39E-10
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	196	"Enables the transmembrane transfer of an ion by a voltage-gated channel. An ion is an atom or group of atoms carrying an electric charge by virtue of having gained or lost one or more electrons. A voltage-gated channel is a channel whose open state is dependent on the voltage across the membrane in which it is embedded. [GOC:mtg_transport, ISBN:0198506732, ISBN:0815340729]"	28	0.1429	1.36E-11	6.60E-10
GO_POTASSIUM_CHANNEL_ACTIVITY	123	"Enables the facilitated diffusion of a potassium ion (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism. [GOC:BHF, GOC:mtg_transport, GOC:pr, ISBN:0815340729]"	22	0.1789	2.37E-11	1.11E-09
GO_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	52	"Neurotransmitter receptor activity occuring in the postsynaptic membrane during synaptic transmission. [GOC:dos, GOC:signaling]"	15	0.2885	2.69E-11	1.23E-09
GO_TRANSMITTER_GATED_CHANNEL_ACTIVITY	61	"Enables the transmembrane transfer of a solute by a channel that opens when a specific neurotransmitter has been bound by the channel complex or one of its constituent parts. [GOC:mtg_transport, ISBN:0815340729]"	16	0.2623	2.91E-11	1.30E-09
GO_HORMONE_BINDING	102	"Interacting selectively and non-covalently with any hormone, naturally occurring substances secreted by specialized cells that affect the metabolism or behavior of other cells possessing functional receptors for the hormone. [CHEBI:24621, GOC:jl]"	20	0.1961	3.33E-11	1.44E-09
GO_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	75	"Enables the transmembrane transfer of an ion by a channel that opens when a specific extracellular ligand has been bound by the channel complex or one of its constituent parts. [GOC:mtg_transport, ISBN:0815340729]"	17	0.2267	8.81E-11	3.72E-09
GO_STRUCTURAL_MOLECULE_ACTIVITY	826	"The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell. [GOC:mah, GOC:vw]"	61	0.0738	3.07E-10	1.26E-08
GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	849	Interacting selectively and non-covalently with an identical protein to form a homodimer. [GOC:jl]	62	0.073	3.41E-10	1.35E-08
GO_ACTIN_BINDING	422	"Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments. [GOC:clt]"	40	0.0948	3.45E-10	1.35E-08
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	159	Enables the transfer of potassium ions (K+) from one side of a membrane to the other. [GOC:ai]	23	0.1447	6.96E-10	2.66E-08
GO_LIPID_BINDING	726	Interacting selectively and non-covalently with a lipid. [GOC:ai]	55	0.0758	9.30E-10	3.40E-08
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	383	"Enables the transfer of a inorganic cations with a valency of one from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage. [GOC:ai, GOC:mtg_transport, ISBN:0815340729]"	37	0.0966	9.31E-10	3.40E-08
GO_AMIDE_BINDING	355	"Interacting selectively and non-covalently with an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group. [CHEBI:32988, GOC:mah]"	35	0.0986	1.54E-09	5.52E-08
GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING	274	"Interacting selectively and non-covalently with a G protein-coupled receptor. [GOC:ceb, GOC:dph]"	30	0.1095	1.96E-09	6.87E-08
GO_PROTEIN_HETERODIMERIZATION_ACTIVITY	506	Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer. [GOC:ai]	43	0.085	2.22E-09	7.62E-08
GO_PEPTIDE_BINDING	295	"Interacting selectively and non-covalently with peptides, any of a group of organic compounds comprising two or more amino acids linked by peptide bonds. [GOC:jl]"	31	0.1051	2.88E-09	9.66E-08
GO_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING	53	"Interacting selectively and non-covalently with phospholipids, a class of lipids containing phosphoric acid as a mono- or diester, in the presence of calcium. [GOC:jl]"	13	0.2453	5.13E-09	1.69E-07
GO_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC	231	A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to repress or decrease transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units. [GOC:txnOH-2018]	26	0.1126	1.30E-08	4.20E-07
GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH	41	"A constituent of the extracellular matrix that enables the matrix to resist longitudinal stress. [GOC:mah, ISBN:0815316194]"	11	0.2683	2.82E-08	8.93E-07
GO_SULFUR_COMPOUND_BINDING	242	"Interacting selectively and non-covalently with a sulfur compound. [GOC:pr, GOC:TermGenie]"	26	0.1074	3.39E-08	1.05E-06
GO_PHOSPHOLIPID_BINDING	423	"Interacting selectively and non-covalently with phospholipids, a class of lipids containing phosphoric acid as a mono- or diester. [ISBN:0198506732]"	36	0.0851	4.27E-08	1.30E-06
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	86	"Enables the transmembrane transfer of a potassium ion by a voltage-gated channel. A voltage-gated channel is a channel whose open state is dependent on the voltage across the membrane in which it is embedded. [GOC:mtg_transport, ISBN:0815340729]"	15	0.1744	4.96E-08	1.48E-06
GO_GLUTAMATE_RECEPTOR_ACTIVITY	27	"Combining with glutamate and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity. [GOC:ai, GOC:signaling]"	9	0.3333	6.43E-08	1.89E-06
GO_NEUROTRANSMITTER_BINDING	55	"Interacting selectively and non-covalently with a neurotransmitter, any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell. [ISBN:0198506732]"	12	0.2182	8.19E-08	2.36E-06
GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	703	Interacting selectively and non-covalently with a specific domain of a protein. [GOC:go_curators]	49	0.0697	1.02E-07	2.90E-06
GO_HEPARIN_BINDING	163	"Interacting selectively and non-covalently with heparin, any member of a group of glycosaminoglycans found mainly as an intracellular component of mast cells and which consist predominantly of alternating alpha-(1->4)-linked D-galactose and N-acetyl-D-glucosamine-6-sulfate residues. [GOC:jl, ISBN:0198506732]"	20	0.1227	1.47E-07	4.10E-06
GO_GROWTH_FACTOR_ACTIVITY	165	The function that stimulates a cell to grow or proliferate. Most growth factors have other actions besides the induction of cell growth or proliferation. [ISBN:0815316194]	20	0.1212	1.80E-07	4.93E-06
GO_PEPTIDE_HORMONE_BINDING	49	"Interacting selectively and non-covalently with any peptide with hormonal activity in animals. [GOC:jl, ISBN:0198506732]"	11	0.2245	2.08E-07	5.61E-06
GO_RECEPTOR_SERINE_THREONINE_KINASE_BINDING	23	Interacting selectively and non-covalently with a receptor that possesses protein serine/threonine kinase activity. [GOC:mah]	8	0.3478	2.42E-07	6.42E-06
GO_CHROMATIN_BINDING	538	"Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase. [GOC:jl, ISBN:0198506732, PMID:20404130]"	40	0.0743	2.93E-07	7.64E-06
GO_LIPID_PHOSPHATASE_ACTIVITY	11	Catalysis of the reaction: a phospholipid + H2O = a lipid + phosphate. [GOC:jl]	6	0.5455	3.26E-07	8.37E-06
GO_NEUROPEPTIDE_BINDING	24	"Interacting selectively and non-covalently and stoichiometrically with neuropeptides, peptides with direct synaptic effects (peptide neurotransmitters) or indirect modulatory effects on the nervous system (peptide neuromodulators). [http://www.wormbook.org/chapters/www_neuropeptides/neuropeptides.html]"	8	0.3333	3.53E-07	8.94E-06
GO_IONOTROPIC_GLUTAMATE_RECEPTOR_ACTIVITY	19	Catalysis of the transmembrane transfer of an ion by a channel that opens when glutamate has been bound by the channel complex or one of its constituent parts. [ISBN:0198506732]	7	0.3684	8.93E-07	2.23E-05
GO_CO_RECEPTOR_BINDING	13	"Interacting selectively and non-covalently with a coreceptor. A coreceptor acts in cooperation with a primary receptor to transmit a signal within the cell. [GOC:bf, GOC:jl]"	6	0.4615	1.15E-06	2.78E-05
GO_PHOSPHATIDATE_PHOSPHATASE_ACTIVITY	13	"Catalysis of the reaction: a 1,2-diacylglycerol 3-phosphate + H2O = a 1,2-diacyl-sn-glycerol + phosphate. [EC:3.1.3.4, GOC:pr]"	6	0.4615	1.15E-06	2.78E-05
GO_DRUG_BINDING	1725	"Interacting selectively and non-covalently with a drug, any naturally occurring or synthetic substance, other than a nutrient, that, when administered or applied to an organism, affects the structure or functioning of the organism; in particular, any such substance used in the diagnosis, prevention, or treatment of disease. [GOC:jl, ISBN:0198506732]"	89	0.0516	1.18E-06	2.82E-05
GO_LIGAND_GATED_ANION_CHANNEL_ACTIVITY	20	"Enables the transmembrane transfer of an inorganic anion by a channel that opens when a specific ligand has been bound by the channel complex or one of its constituent parts. [GOC:mtg_transport, ISBN:0815340729]"	7	0.35	1.34E-06	3.14E-05
GO_FRIZZLED_BINDING	39	"Interacting selectively and non-covalently with a frizzled (fz) receptor. [GOC:ceb, PR:000001315]"	9	0.2308	2.09E-06	4.85E-05
GO_CHANNEL_REGULATOR_ACTIVITY	144	"Modulates the activity of a channel. A channel catalyzes energy-independent facilitated diffusion, mediated by passage of a solute through a transmembrane aqueous pore or channel. [GOC:mah]"	17	0.1181	2.13E-06	4.87E-05
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	62	"Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate. [EC:2.7.10.1, GOC:mah]"	11	0.1774	2.53E-06	5.69E-05
GO_ION_CHANNEL_REGULATOR_ACTIVITY	117	"Modulates the activity of a channel via direct interaction with it. A channel catalyzes energy-independent facilitated diffusion, mediated by passage of a solute through a transmembrane aqueous pore or channel. [GOC:dos]"	15	0.1282	2.98E-06	6.59E-05
GO_BMP_RECEPTOR_BINDING	9	"Interacting selectively and non-covalently with a BMP receptor. [GOC:BHF, GOC:vk]"	5	0.5556	3.01E-06	6.59E-05
GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	148	"Enables the transfer of sodium ions (Na+) from one side of a membrane to the other. [GOC:ai, GOC:BHF]"	17	0.1149	3.11E-06	6.74E-05
GO_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY	365	"Catalysis of the reaction: RPO-R' + H2O = RPOOH + R'H. This reaction is the hydrolysis of any phosphoric ester bond, any ester formed from orthophosphoric acid, O=P(OH)3. [GOC:jl]"	29	0.0795	3.38E-06	7.22E-05
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	79	Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: a protein + ATP = a phosphoprotein + ADP. [GOC:mah]	12	0.1519	4.87E-06	1.02E-04
GO_HMG_BOX_DOMAIN_BINDING	16	"Interacting selectively and non-covalently with an HMG box domain, a protein domain that consists of three helices in an irregular array. HMG-box domains are found in one or more copies in HMG-box proteins, which form a large, diverse family involved in the regulation of DNA-dependent processes such as transcription, replication, and strand repair, all of which require the bending and unwinding of chromatin. [GOC:yaf, InterPro:IPR009071, PMID:18445004]"	6	0.375	4.95E-06	1.02E-04
GO_INHIBITORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	16	"Enables the transmembrane transfer of an ion by a channel that opens when a specific extracellular inhibitory ligand has been bound by the channel complex or one of its constituent parts. Inhibitory ligands, such as GABA or glycine, open chloride-selective channels. [GOC:mah, ISBN:0323037070]"	6	0.375	4.95E-06	1.02E-04
GO_NEUROPEPTIDE_Y_RECEPTOR_ACTIVITY	10	Combining with neuropeptide Y to initiate a change in cell activity. [PMID:9315606]	5	0.5	5.86E-06	1.19E-04
GO_PROTEIN_KINASE_ACTIVITY	590	"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP. [MetaCyc:PROTEIN-KINASE-RXN]"	39	0.0661	7.02E-06	1.41E-04
GO_TRANSITION_METAL_ION_BINDING	1077	"Interacting selectively and non-covalently with a transition metal ions; a transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver. [ISBN:0198506732]"	60	0.0557	7.18E-06	1.42E-04
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_PHOSPHATASE_ACTIVITY	17	Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: a phosphoprotein + H2O = a protein + phosphate. [GOC:hjd]	6	0.3529	7.45E-06	1.44E-04
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_BINDING	17	"Interacting selectively and non-covalently with a receptor that spans a cell membrane and possesses protein serine/threonine kinase activity. [GOC:BHF, GOC:mah]"	6	0.3529	7.45E-06	1.44E-04
GO_EXTRACELLULAR_MATRIX_BINDING	57	Interacting selectively and non-covalently with a component of the extracellular matrix. [GOC:ai]	10	0.1754	8.01E-06	1.53E-04
GO_CELL_ADHESION_MOLECULE_BINDING	488	Interacting selectively and non-covalently with a cell adhesion molecule. [GOC:ai]	34	0.0697	8.99E-06	1.70E-04
GO_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_BINDING	72	"Interacting selectively and non-covalently with phosphatidylinositol-4,5-bisphosphate, a derivative of phosphatidylinositol in which the inositol ring is phosphorylated at the 4' and 5' positions. [GOC:bf, GOC:jl]"	11	0.1528	1.14E-05	2.13E-04
GO_MOLYBDOPTERIN_COFACTOR_BINDING	6	"Interacting selectively and non-covalently with the molybdopterin cofactor (Moco), essential for the catalytic activity of some enzymes, e.g. sulfite oxidase, xanthine dehydrogenase, and aldehyde oxidase. The cofactor consists of a mononuclear molybdenum (Mo-molybdopterin) or tungsten ion (W-molybdopterin) coordinated by one or two molybdopterin ligands. [ISSN:09498257]"	4	0.6667	1.24E-05	2.29E-04
GO_CYTOKINE_ACTIVITY	219	"Functions to control the survival, growth, differentiation and effector function of tissues and cells. [ISBN:0198599471]"	20	0.0913	1.49E-05	2.72E-04
GO_NEUROPEPTIDE_HORMONE_ACTIVITY	28	"The action characteristic of a neuropeptide hormone, any peptide hormone that acts in the central nervous system. A neuropeptide is any of several types of molecules found in brain tissue, composed of short chains of amino acids; they include endorphins, enkephalins, vasopressin, and others. They are often localized in axon terminals at synapses and are classified as putative neurotransmitters, although some are also hormones. [GOC:mah]"	7	0.25	1.65E-05	2.98E-04
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	12	"Catalysis of the reaction: adenosine 3',5'-cyclic phosphate + H2O = adenosine 5'-phosphate. [GOC:ai]"	5	0.4167	1.75E-05	3.13E-04
GO_ORGANIC_ACID_BINDING	205	"Interacting selectively and non-covalently with an organic acid, any acidic compound containing carbon in covalent linkage. [GOC:jl, ISBN:0198506732]"	19	0.0927	1.96E-05	3.47E-04
GO_MOTOR_ACTIVITY	137	"Catalysis of the generation of force resulting either in movement along a microfilament or microtubule, or in torque resulting in membrane scission, coupled to the hydrolysis of a nucleoside triphosphate. [GOC:mah, GOC:vw, ISBN:0815316194, PMID:11242086]"	15	0.1095	2.08E-05	3.60E-04
GO_HORMONE_ACTIVITY	121	"The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process. [GOC:dph, GOC:mah, ISBN:0198506732]"	14	0.1157	2.08E-05	3.60E-04
GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING	51	Interacting selectively and non-covalently with the transforming growth factor beta receptor. [GOC:ai]	9	0.1765	2.16E-05	3.66E-04
GO_PHOSPHATIDYLINOSITOL_BISPHOSPHATE_BINDING	106	"Interacting selectively and non-covalently with phosphatidylinositol bisphosphate. [GO_REF:0000067, GOC:bhm, GOC:TermGenie, PMID:18690034]"	13	0.1226	2.18E-05	3.66E-04
GO_SNARE_BINDING	106	Interacting selectively and non-covalently with a SNARE (soluble N-ethylmaleimide-sensitive factor attached protein receptor) protein. [PMID:12642621]	13	0.1226	2.18E-05	3.66E-04
GO_SODIUM_CHANNEL_ACTIVITY	40	"Enables the facilitated diffusion of a sodium ion (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism. [GOC:BHF, GOC:mtg_transport, GOC:pr, ISBN:0815340729]"	8	0.2	2.39E-05	3.98E-04
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	139	Enables the transfer of calcium (Ca) ions from one side of a membrane to the other. [GOC:dgf]	15	0.1079	2.47E-05	4.06E-04
