Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_AXON_DEVELOPMENT	508	"The progression of an axon over time. Covers axonogenesis (de novo generation of an axon) and axon regeneration (regrowth), as well as processes pertaining to the progression of the axon over time (fasciculation and defasciculation). [GOC:dph, GOC:pg, GOC:pr]"	75	0.1476	9.79E-30	1.38E-27
GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION	1974	"Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form. [GOC:dph, GOC:tb]"	160	0.0811	1.00E-29	1.39E-27
GO_NERVOUS_SYSTEM_PROCESS	1422	"A organ system process carried out by any of the organs or tissues of neurological system. [GOC:ai, GOC:mtg_cardio]"	131	0.0921	1.48E-29	2.01E-27
GO_POSITIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS	1600	"Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process. [GO:jl, GO_REF:0000058, GOC:TermGenie]"	140	0.0875	2.73E-29	3.65E-27
GO_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT	545	"Any process that increases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate. [GOC:BHF, GOC:dph, GOC:tb]"	77	0.1413	3.29E-29	4.31E-27
GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1035	"Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:ai]"	108	0.1043	7.00E-29	9.03E-27
GO_GROWTH	990	"The increase in size or mass of an entire organism, a part of an organism or a cell. [GOC:bf, GOC:ma]"	105	0.1061	1.12E-28	1.42E-26
GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	1077	"Any process that modulates the frequency, rate or extent of the movement of a cellular component. [GOC:ai, GOC:dph, GOC:jl]"	110	0.1021	1.31E-28	1.63E-26
GO_SKELETAL_SYSTEM_DEVELOPMENT	517	"The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton). [GOC:dph, GOC:jid, GOC:tb, http://www.stedmans.com/]"	74	0.1431	1.78E-28	2.18E-26
GO_TISSUE_MORPHOGENESIS	661	"The process in which the anatomical structures of a tissue are generated and organized. [GOC:dph, GOC:jid]"	84	0.1271	1.82E-28	2.19E-26
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	211	"The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism. [GOC:dph, GOC:go_curators, GOC:isa_complete, GOC:tb]"	48	0.2275	5.76E-28	6.83E-26
GO_EPITHELIAL_TUBE_MORPHOGENESIS	314	"The process in which the anatomical structures of a tube are generated and organized from an epithelium. Epithelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system. [GOC:dph]"	57	0.1815	1.53E-27	1.79E-25
GO_REGULATION_OF_SYSTEM_PROCESS	610	"Any process that modulates the frequency, rate or extent of a system process, a multicellular organismal process carried out by any of the organs or tissues in an organ system. [GOC:jl]"	79	0.1295	2.24E-27	2.57E-25
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	526	"The process in which the anatomical structures of epithelia are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube. [GOC:dph, GOC:jl, GOC:tb, ISBN:0198506732]"	73	0.1388	2.98E-27	3.33E-25
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	1153	"Any process that modulates the frequency, rate or extent of anatomical structure morphogenesis. [GOC:mah]"	112	0.0971	2.99E-27	3.33E-25
GO_REGULATION_OF_HORMONE_LEVELS	513	"Any process that modulates the levels of hormone within an organism or a tissue. A hormone is any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. [GOC:BHF, GOC:dph, GOC:tb]"	72	0.1404	3.37E-27	3.70E-25
GO_EMBRYONIC_ORGAN_MORPHOGENESIS	284	"Morphogenesis, during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions. [GOC:jid]"	54	0.1901	3.46E-27	3.74E-25
GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	1043	"Any series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:mah, GOC:signaling, ISBN:0185316194]"	105	0.1007	7.94E-27	8.46E-25
GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1983	"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances. [GOC:go_curators]"	154	0.0777	1.25E-26	1.31E-24
GO_PROTEIN_PHOSPHORYLATION	1967	The process of introducing a phosphate group on to a protein. [GOC:hb]	153	0.0778	1.58E-26	1.64E-24
GO_DEVELOPMENTAL_GROWTH	663	"The increase in size or mass of an entire organism, a part of an organism or a cell, where the increase in size or mass has the specific outcome of the progression of the organism over time from one condition to another. [GOC:go_curators]"	81	0.1222	2.52E-26	2.57E-24
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	434	"Any process that modulates the frequency, rate or extent of trans-synaptic signaling. [GOC:dos]"	65	0.1498	2.83E-26	2.85E-24
GO_NEURON_FATE_COMMITMENT	68	The process in which the developmental fate of a cell becomes restricted such that it will develop into a neuron. [GOC:dph]	29	0.4265	3.67E-26	3.64E-24
GO_CATION_TRANSPORT	1159	"The directed movement of cations, atoms or small molecules with a net positive charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"	110	0.0949	6.14E-26	6.02E-24
GO_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	365	"Any process that activates or increases the frequency, rate or extent of neuron differentiation. [GOC:go_curators]"	59	0.1616	1.03E-25	9.92E-24
GO_CELL_FATE_SPECIFICATION	84	"The process involved in the specification of cell identity. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment. [GOC:go_curators]"	31	0.369	1.48E-25	1.42E-23
GO_EPITHELIAL_CELL_DIFFERENTIATION	767	"The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium. [GOC:ecd, PMID:11839751]"	86	0.1121	2.82E-25	2.65E-23
GO_REGULATION_OF_MEMBRANE_POTENTIAL	433	"Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane. [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]"	63	0.1455	8.40E-25	7.81E-23
GO_RESPONSE_TO_GROWTH_FACTOR	732	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus. [GOC:BHF, GOC:mah]"	83	0.1134	9.42E-25	8.65E-23
GO_REGULATION_OF_SECRETION	788	"Any process that modulates the frequency, rate or extent of the controlled release of a substance from a cell or a tissue. [GOC:ai]"	86	0.1091	1.80E-24	1.63E-22
GO_APPENDAGE_DEVELOPMENT	177	"The process whose specific outcome is the progression of an appendage over time, from its formation to the mature structure. An appendage is an organ or part that is attached to the trunk of an organism, such as a limb or a branch. [GOC:jid, GOC:rc]"	41	0.2316	2.09E-24	1.87E-22
GO_MESENCHYME_DEVELOPMENT	276	"The process whose specific outcome is the progression of a mesenchymal tissue over time, from its formation to the mature structure. A mesenchymal tissue is made up of loosely packed stellate cells. [GOC:dph]"	50	0.1812	2.84E-24	2.51E-22
GO_HEART_DEVELOPMENT	573	"The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood. [GOC:jid, UBERON:0000948]"	72	0.1257	3.01E-24	2.64E-22
GO_HEART_MORPHOGENESIS	255	"The developmental process in which the heart is generated and organized. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood. [GOC:dph, GOC:isa_complete]"	48	0.1882	4.13E-24	3.57E-22
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	623	"The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell. [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]"	75	0.1204	4.70E-24	4.02E-22
GO_SYNAPSE_ORGANIZATION	406	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell). [GOC:ai, GOC:pr]"	60	0.1478	4.89E-24	4.14E-22
GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	1694	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus. [GOC:ai]"	134	0.0791	6.59E-24	5.50E-22
GO_MUSCLE_STRUCTURE_DEVELOPMENT	659	"The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms. [GOC:dph]"	77	0.1168	7.54E-24	6.22E-22
GO_REPRODUCTION	1459	"The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms. [GOC:go_curators, GOC:isa_complete, GOC:jl, ISBN:0198506732]"	122	0.0836	7.74E-24	6.32E-22
GO_ENDOCRINE_SYSTEM_DEVELOPMENT	129	"Progression of the endocrine system over time, from its formation to a mature structure. The endocrine system is a system of hormones and ductless glands, where the glands release hormones directly into the blood, lymph or other intercellular fluid, and the hormones circulate within the body to affect distant organs. The major glands that make up the human endocrine system are the hypothalamus, pituitary, thyroid, parathryoids, adrenals, pineal body, and the reproductive glands which include the ovaries and testes. [GOC:bf, http://encyclopedia.thefreedictionary.com/Endocrine+sytem, ISBN:0198506732]"	35	0.2713	1.64E-23	1.32E-21
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1375	"A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane (PMID:24568158 and PMID:16902576). [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]"	117	0.0851	1.66E-23	1.32E-21
GO_SENSORY_ORGAN_MORPHOGENESIS	253	"Morphogenesis of a sensory organ. A sensory organ is defined as a tissue or set of tissues that work together to receive and transmit signals from external or internal stimuli. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions. [GOC:kmv, ISBN:978-0199210893]"	47	0.1858	2.22E-23	1.75E-21
GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1616	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus. [GOC:pr, GOC:TermGenie]"	129	0.0798	2.24E-23	1.75E-21
GO_TAXIS	636	"The directed movement of a motile cell or organism in response to an external stimulus. [GOC:jl, ISBN:0192801023]"	74	0.1164	7.50E-23	5.80E-21
GO_REPRODUCTIVE_SYSTEM_DEVELOPMENT	431	The progression of the reproductive system over time from its formation to the mature structure. The reproductive system consists of the organs that function in reproduction. [GOC:dph]	60	0.1392	1.13E-22	8.63E-21
GO_CARDIOVASCULAR_SYSTEM_DEVELOPMENT	806	"The process whose specific outcome is the progression of the cardiovascular system over time, from its formation to the mature structure. The cardiovascular system is the anatomical system that has as its parts the heart and blood vessels. [GOC:mah, UBERON:0004535]"	84	0.1042	1.33E-22	1.01E-20
GO_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION	741	"Any process that stops, prevents, or reduces the frequency, rate or extent of cell differentiation. [GOC:go_curators]"	80	0.108	1.55E-22	1.16E-20
GO_NEGATIVE_REGULATION_OF_SIGNALING	1394	"Any process that stops, prevents, or reduces the frequency, rate or extent of a signaling process. [GOC:mtg_signal]"	116	0.0832	1.61E-22	1.20E-20
GO_RESPONSE_TO_DRUG	1018	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a drug stimulus. A drug is a substance used in the diagnosis, treatment or prevention of a disease. [GOC:jl]"	95	0.0933	5.56E-22	4.09E-20
